epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,1.0,,,
2.0,100.0,33.0,22464.0,500.0,15.151515,-200.0,-200.0,0.021940405,0.02,1.0,,,
4.0,200.0,63.0,46464.0,1000.0,15.873015,-200.0,-200.0,0.14290945,0.02,1.0,,,
7.0,100.0,93.0,70464.0,1500.0,16.129032,-200.0,-200.0,0.44422463,0.018,0.95555556,,,
9.0,200.0,123.0,94464.0,2000.0,16.260162,-200.0,-200.0,0.4366853,0.018,0.9111111,,,
12.0,100.0,154.0,118464.0,2500.0,16.233767,-200.0,-200.0,1.2957382,0.0162,0.8666667,,,
14.0,200.0,185.0,142464.0,3000.0,16.216217,-200.0,-200.0,2.300533,0.0162,0.82222223,,,
17.0,100.0,215.0,166464.0,3500.0,16.27907,-200.0,-200.0,0.51050526,0.01458,0.7777778,,,
19.0,200.0,245.0,190464.0,4000.0,16.32653,-200.0,-200.0,3.2502422,0.01458,0.73333335,,,
22.0,100.0,276.0,214464.0,4500.0,16.304348,-200.0,-200.0,2.5591495,0.013122,0.6888889,,,
24.0,200.0,307.0,238464.0,5000.0,16.286646,-200.0,-200.0,3.1479561,0.013122,0.64444447,,,
27.0,100.0,337.0,262464.0,5500.0,16.320475,-200.0,-200.0,6.0761356,0.0118098,0.6,,,
29.0,200.0,368.0,286464.0,6000.0,16.304348,-200.0,-200.0,5.9749255,0.0118098,0.5555556,,,
32.0,100.0,399.0,310464.0,6500.0,16.290728,-200.0,-200.0,3.0303023,0.01062882,0.51111114,,,
34.0,200.0,429.0,334464.0,7000.0,16.317017,-200.0,-200.0,9.197204,0.01062882,0.46666667,,,
37.0,100.0,460.0,358464.0,7500.0,16.304348,-200.0,-200.0,5.095484,0.009565938,0.42222223,,,
39.0,200.0,491.0,382464.0,8000.0,16.29328,-200.0,-200.0,8.930852,0.009565938,0.37777779,,,
42.0,100.0,522.0,406464.0,8500.0,16.283525,-200.0,-200.0,11.722818,0.008609344,0.33333334,,,
44.0,200.0,553.0,430464.0,9000.0,16.274864,-200.0,-200.0,10.379491,0.008609344,0.2888889,,,
47.0,100.0,583.0,454464.0,9500.0,16.295025,-200.0,-200.0,7.246978,0.0077484096,0.24444444,,,
49.0,200.0,614.0,478464.0,10000.0,16.286646,-200.0,-200.0,8.363992,0.0077484096,0.2,,,
52.0,100.0,645.0,502464.0,10500.0,16.27907,-200.0,-200.0,6.7365646,0.006973569,0.2,,,
54.0,200.0,676.0,526464.0,11000.0,16.27219,-200.0,-200.0,11.433521,0.006973569,0.2,,,
57.0,100.0,707.0,550464.0,11500.0,16.265913,-200.0,-200.0,7.6669297,0.0062762117,0.2,,,
59.0,200.0,739.0,574464.0,12000.0,16.23816,-200.0,-200.0,10.668911,0.0062762117,0.2,,,
62.0,100.0,770.0,598464.0,12500.0,16.233767,-200.0,-200.0,7.071341,0.0056485906,0.2,,,
64.0,200.0,801.0,622464.0,13000.0,16.229713,-200.0,-200.0,14.085732,0.0056485906,0.2,,,
67.0,100.0,832.0,646464.0,13500.0,16.225962,-200.0,-200.0,10.311575,0.005083732,0.2,,,
69.0,200.0,863.0,670464.0,14000.0,16.222479,-200.0,-200.0,10.521657,0.005083732,0.2,,,
72.0,100.0,895.0,694464.0,14500.0,16.201117,-200.0,-200.0,12.910473,0.0045753587,0.2,,,
74.0,200.0,926.0,718464.0,15000.0,16.198704,-200.0,-200.0,13.126804,0.0045753587,0.2,,,
77.0,100.0,957.0,742464.0,15500.0,16.196447,-200.0,-200.0,12.321909,0.0041178227,0.2,,,
79.0,200.0,988.0,766464.0,16000.0,16.194332,-200.0,-200.0,18.016272,0.0041178227,0.2,,,
82.0,100.0,1020.0,790464.0,16500.0,16.17647,-200.0,-200.0,11.501809,0.0037060403,0.2,,,
84.0,200.0,1051.0,814464.0,17000.0,16.175072,-200.0,-200.0,5.1871104,0.0037060403,0.2,,,
87.0,100.0,1082.0,838464.0,17500.0,16.173752,-200.0,-200.0,22.158094,0.0033354363,0.2,,,
89.0,200.0,1113.0,862464.0,18000.0,16.172506,-200.0,-200.0,17.834612,0.0033354363,0.2,,,
92.0,100.0,1145.0,886464.0,18500.0,16.157206,-200.0,-200.0,23.261473,0.0030018927,0.2,,,
94.0,200.0,1176.0,910464.0,19000.0,16.156462,-200.0,-200.0,8.798606,0.0030018927,0.2,,,
97.0,100.0,1208.0,934464.0,19500.0,16.142384,-200.0,-200.0,14.036314,0.0027017035,0.2,,,
99.0,200.0,1239.0,958464.0,20000.0,16.14205,-200.0,-200.0,7.645093,0.0027017035,0.2,,,
102.0,100.0,1271.0,982464.0,20500.0,16.129032,-200.0,-200.0,6.173506,0.002431533,0.2,,,
105.0,28.0,1302.0,1006464.0,21000.0,16.129032,-200.0,-200.0,14.0427475,0.002431533,0.2,,,
107.0,154.0,1333.0,1030464.0,21500.0,16.129032,-200.0,-200.0,15.795082,0.0021883799,0.2,,,
110.0,94.0,1364.0,1054464.0,22000.0,16.129032,-200.0,-200.0,17.770123,0.0021883799,0.2,,,
113.0,29.0,1396.0,1078464.0,22500.0,16.11748,-200.0,-200.0,5.082327,0.001969542,0.2,,,
115.0,168.0,1427.0,1102464.0,23000.0,16.11773,-161.0,-199.15218,15.664866,0.001969542,0.2,,,
118.0,68.0,1458.0,1126464.0,23500.0,16.11797,-200.0,-199.17021,8.518166,0.0017725877,0.2,,,
120.0,168.0,1489.0,1150464.0,24000.0,16.1182,-200.0,-199.1875,24.599747,0.0017725877,0.2,,,
123.0,68.0,1520.0,1174464.0,24500.0,16.118422,-200.0,-199.20409,12.368636,0.0015953289,0.2,,,
125.0,168.0,1552.0,1198464.0,25000.0,16.108248,-200.0,-199.22,7.526069,0.0015953289,0.2,,,
128.0,68.0,1583.0,1222464.0,25500.0,16.108654,-200.0,-199.23529,7.3209786,0.001435796,0.2,,,
131.0,13.0,1614.0,1246464.0,26000.0,16.109045,-200.0,-199.25,2.0185528,0.001435796,0.2,,,
134.0,39.0,1645.0,1270464.0,26500.0,16.109423,-173.0,-198.75471,5.554514,0.0012922164,0.2,,,
136.0,139.0,1677.0,1294464.0,27000.0,16.10018,-200.0,-198.77777,1.5696734,0.0012922164,0.2,,,
