epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,1.0,,,
2.0,100.0,34.0,22464.0,500.0,14.705882,-200.0,-200.0,0.15842518,0.02,1.0,,,
4.0,200.0,66.0,46464.0,1000.0,15.151515,-200.0,-200.0,0.011066075,0.02,1.0,,,
7.0,100.0,98.0,70464.0,1500.0,15.306123,-200.0,-200.0,0.44060978,0.018,0.95555556,,,
9.0,200.0,130.0,94464.0,2000.0,15.384615,-200.0,-200.0,0.70101637,0.018,0.9111111,,,
12.0,100.0,163.0,118464.0,2500.0,15.337423,-200.0,-200.0,0.34795666,0.0162,0.8666667,,,
14.0,200.0,196.0,142464.0,3000.0,15.306123,-200.0,-200.0,3.9397547,0.0162,0.82222223,,,
17.0,100.0,228.0,166464.0,3500.0,15.350877,-200.0,-200.0,1.084792,0.01458,0.7777778,,,
19.0,200.0,260.0,190464.0,4000.0,15.384615,-200.0,-200.0,3.3511248,0.01458,0.73333335,,,
22.0,100.0,294.0,214464.0,4500.0,15.306123,-200.0,-200.0,6.082251,0.013122,0.6888889,,,
24.0,200.0,329.0,238464.0,5000.0,15.197568,-200.0,-200.0,5.880162,0.013122,0.64444447,,,
27.0,100.0,362.0,262464.0,5500.0,15.19337,-200.0,-200.0,2.84881,0.0118098,0.6,,,
29.0,200.0,395.0,286464.0,6000.0,15.189874,-200.0,-200.0,5.286592,0.0118098,0.5555556,,,
32.0,100.0,431.0,310464.0,6500.0,15.081206,-200.0,-200.0,1.1437103,0.01062882,0.51111114,,,
34.0,200.0,463.0,334464.0,7000.0,15.118791,-200.0,-200.0,9.12472,0.01062882,0.46666667,,,
37.0,100.0,496.0,358464.0,7500.0,15.120968,-200.0,-200.0,5.22332,0.009565938,0.42222223,,,
39.0,200.0,528.0,382464.0,8000.0,15.151515,-200.0,-200.0,10.102572,0.009565938,0.37777779,,,
42.0,100.0,561.0,406464.0,8500.0,15.151515,-200.0,-200.0,3.2324305,0.008609344,0.33333334,,,
44.0,200.0,593.0,430464.0,9000.0,15.177066,-200.0,-200.0,7.836464,0.008609344,0.2888889,,,
47.0,100.0,625.0,454464.0,9500.0,15.2,-200.0,-200.0,6.80539,0.0077484096,0.24444444,,,
49.0,200.0,659.0,478464.0,10000.0,15.174507,-200.0,-200.0,12.490283,0.0077484096,0.2,,,
52.0,100.0,694.0,502464.0,10500.0,15.129683,-200.0,-200.0,2.1123517,0.006973569,0.2,,,
54.0,200.0,727.0,526464.0,11000.0,15.130674,-200.0,-200.0,8.235715,0.006973569,0.2,,,
57.0,100.0,759.0,550464.0,11500.0,15.151515,-200.0,-200.0,4.8833833,0.0062762117,0.2,,,
59.0,200.0,792.0,574464.0,12000.0,15.151515,-200.0,-200.0,7.977198,0.0062762117,0.2,,,
62.0,100.0,824.0,598464.0,12500.0,15.169903,-200.0,-200.0,11.434802,0.0056485906,0.2,,,
64.0,200.0,857.0,622464.0,13000.0,15.169195,-200.0,-200.0,2.6344664,0.0056485906,0.2,,,
67.0,100.0,889.0,646464.0,13500.0,15.185602,-200.0,-200.0,7.511814,0.005083732,0.2,,,
69.0,200.0,922.0,670464.0,14000.0,15.1843815,-200.0,-200.0,11.514772,0.005083732,0.2,,,
72.0,100.0,956.0,694464.0,14500.0,15.167364,-200.0,-200.0,15.650838,0.0045753587,0.2,,,
74.0,200.0,988.0,718464.0,15000.0,15.182186,-200.0,-200.0,18.718933,0.0045753587,0.2,,,
77.0,100.0,1021.0,742464.0,15500.0,15.181195,-200.0,-200.0,15.526546,0.0041178227,0.2,,,
79.0,200.0,1054.0,766464.0,16000.0,15.180265,-200.0,-200.0,13.368379,0.0041178227,0.2,,,
82.0,100.0,1087.0,790464.0,16500.0,15.179393,-200.0,-200.0,18.129217,0.0037060403,0.2,,,
84.0,200.0,1120.0,814464.0,17000.0,15.178572,-200.0,-200.0,11.125184,0.0037060403,0.2,,,
87.0,129.0,1153.0,838464.0,17500.0,15.177797,-200.0,-200.0,17.354542,0.0033354363,0.2,,,
90.0,29.0,1186.0,862464.0,18000.0,15.177066,-200.0,-200.0,18.297092,0.0033354363,0.2,,,
92.0,129.0,1219.0,886464.0,18500.0,15.176374,-200.0,-200.0,13.598541,0.0030018927,0.2,,,
95.0,56.0,1251.0,910464.0,19000.0,15.18785,-173.0,-199.28947,3.8122535,0.0030018927,0.2,,,
97.0,156.0,1286.0,934464.0,19500.0,15.163297,-200.0,-199.3077,4.760557,0.0027017035,0.2,,,
100.0,56.0,1320.0,958464.0,20000.0,15.151515,-200.0,-199.325,13.685241,0.0027017035,0.2,,,
102.0,156.0,1353.0,982464.0,20500.0,15.151515,-200.0,-199.34146,9.156812,0.002431533,0.2,,,
105.0,56.0,1386.0,1006464.0,21000.0,15.151515,-200.0,-199.35715,4.834153,0.002431533,0.2,,,
107.0,156.0,1419.0,1030464.0,21500.0,15.151515,-200.0,-199.37209,15.972563,0.0021883799,0.2,,,
110.0,56.0,1453.0,1054464.0,22000.0,15.141088,-200.0,-199.38637,13.050388,0.0021883799,0.2,,,
112.0,156.0,1486.0,1078464.0,22500.0,15.141319,-200.0,-199.4,8.349384,0.001969542,0.2,,,
115.0,93.0,1518.0,1102464.0,23000.0,15.151515,-200.0,-199.41304,4.871288,0.001969542,0.2,,,
118.0,39.0,1551.0,1126464.0,23500.0,15.151515,-171.0,-198.80852,18.649649,0.0017725877,0.2,,,
120.0,165.0,1583.0,1150464.0,24000.0,15.161086,-174.0,-198.29167,8.811957,0.0017725877,0.2,,,
123.0,83.0,1616.0,1174464.0,24500.0,15.160892,-200.0,-198.32654,12.038384,0.0015953289,0.2,,,
126.0,18.0,1648.0,1198464.0,25000.0,15.169903,-200.0,-198.36,8.58917,0.0015953289,0.2,,,
128.0,118.0,1681.0,1222464.0,25500.0,15.169542,-200.0,-198.39215,9.539796,0.001435796,0.2,,,
131.0,18.0,1714.0,1246464.0,26000.0,15.169195,-200.0,-198.42308,4.4721246,0.001435796,0.2,,,
133.0,129.0,1749.0,1270464.0,26500.0,15.151515,-189.0,-198.24529,2.7573748,0.0012922164,0.2,,,
136.0,120.0,1783.0,1294464.0,27000.0,15.143018,-146.0,-197.27777,3.5185978,0.0012922164,0.2,,,
139.0,70.0,1817.0,1318464.0,27500.0,15.134838,-196.0,-197.25455,14.515143,0.0011629948,0.2,,,
142.0,12.0,1849.0,1342464.0,28000.0,15.143321,-200.0,-197.30357,7.0818644,0.0011629948,0.2,,,
144.0,137.0,1882.0,1366464.0,28500.0,15.143464,-175.0,-196.91228,0.9831862,0.0010466953,0.2,,,
147.0,43.0,1916.0,1390464.0,29000.0,15.135699,-200.0,-196.96552,3.5922463,0.0010466953,0.2,,,
149.0,161.0,1949.0,1414464.0,29500.0,15.135967,-182.0,-196.71187,5.1970286,0.00094202574,0.2,,,
152.0,75.0,1982.0,1438464.0,30000.0,15.136226,-200.0,-196.76666,6.919173,0.00094202574,0.2,,,
155.0,45.0,2015.0,1462464.0,30500.0,15.1364765,-168.0,-196.29507,3.004568,0.00084782316,0.2,,,
158.0,6.0,2048.0,1486464.0,31000.0,15.136719,-165.0,-195.79033,9.736491,0.00084782316,0.2,,,
161.0,18.0,2082.0,1510464.0,31500.0,15.129683,-158.0,-195.19048,2.006692,0.00076304085,0.2,,,
164.0,9.0,2119.0,1534464.0,32000.0,15.101463,-200.0,-195.26562,12.506822,0.00076304085,0.2,,,
167.0,20.0,2152.0,1558464.0,32500.0,15.10223,-158.0,-194.6923,3.6373265,0.0006867368,0.2,,,
170.0,8.0,2186.0,1582464.0,33000.0,15.0960655,-153.0,-194.06061,4.7897954,0.0006867368,0.2,,,
173.0,17.0,2219.0,1606464.0,33500.0,15.09689,-153.0,-193.44775,8.063401,0.0006180631,0.2,,,
176.0,23.0,2251.0,1630464.0,34000.0,15.104398,-162.0,-192.98529,3.9271114,0.0006180631,0.2,,,
179.0,64.0,2284.0,1654464.0,34500.0,15.105079,-151.0,-192.37682,2.087875,0.0005562568,0.2,,,
182.0,109.0,2317.0,1678464.0,35000.0,15.105741,-148.0,-191.74286,4.8734426,0.0005562568,0.2,,,
185.0,104.0,2349.0,1702464.0,35500.0,15.112814,-192.0,-191.74648,0.6512431,0.0005006311,0.2,,,
188.0,146.0,2382.0,1726464.0,36000.0,15.11335,-158.0,-191.27777,3.4724483,0.0005006311,0.2,,,
192.0,22.0,2414.0,1750464.0,36500.0,15.120132,-150.0,-190.71233,6.201481,0.00045056798,0.2,,,
195.0,65.0,2448.0,1774464.0,37000.0,15.114379,-152.0,-190.1892,0.5465082,0.00045056798,0.2,,,
198.0,61.0,2482.0,1798464.0,37500.0,15.108783,-150.0,-189.65334,3.41398,0.00040551118,0.2,,,
201.0,38.0,2518.0,1822464.0,38000.0,15.091342,-200.0,-189.78947,6.0330954,0.00040551118,0.2,,,
204.0,65.0,2550.0,1846464.0,38500.0,15.09804,-155.0,-189.33766,2.9338028,0.00036496008,0.2,,,
207.0,17.0,2583.0,1870464.0,39000.0,15.098722,-195.0,-189.41026,8.840273,0.00036496008,0.2,,,
210.0,62.0,2616.0,1894464.0,39500.0,15.099388,-154.0,-188.96202,0.5385053,0.00032846406,0.2,,,
213.0,22.0,2651.0,1918464.0,40000.0,15.088646,-150.0,-188.475,0.53017545,0.00032846406,0.2,,,
216.0,37.0,2683.0,1942464.0,40500.0,15.095043,-139.0,-187.8642,0.29470217,0.00029561765,0.2,,,
219.0,83.0,2716.0,1966464.0,41000.0,15.095729,-149.0,-187.39024,3.6396177,0.00029561765,0.2,,,
222.0,146.0,2751.0,1990464.0,41500.0,15.085423,-153.0,-186.9759,0.81981534,0.0002660559,0.2,,,
226.0,9.0,2784.0,2014464.0,42000.0,15.086206,-148.0,-186.5119,1.983898,0.0002660559,0.2,,,
228.0,198.0,2819.0,2038464.0,42500.0,15.076268,-128.0,-185.82353,0.84696245,0.00023945031,0.2,,,
231.0,151.0,2854.0,2062464.0,43000.0,15.066573,-195.0,-185.93024,3.2817562,0.00023945031,0.2,,,
235.0,68.0,2888.0,2086464.0,43500.0,15.062326,-131.0,-185.29884,4.178567,0.00021550528,0.2,,,
239.0,30.0,2921.0,2110464.0,44000.0,15.063334,-117.0,-184.52272,0.8136452,0.00021550528,0.2,,,
242.0,58.0,2953.0,2134464.0,44500.0,15.069421,-136.0,-183.97752,4.8646307,0.00019395475,0.2,,,
246.0,37.0,2987.0,2158464.0,45000.0,15.065283,-121.0,-183.27777,0.42145842,0.00019395475,0.2,,,
249.0,26.0,3020.0,2182464.0,45500.0,15.066225,-158.0,-183.0,4.785777,0.00017455927,0.2,,,
252.0,85.0,3055.0,2206464.0,46000.0,15.057283,-116.0,-182.27174,0.45854843,0.00017455927,0.2,,,
255.0,148.0,3090.0,2230464.0,46500.0,15.048544,-121.0,-181.6129,2.6271334,0.00015710335,0.2,,,
258.0,110.0,3122.0,2254464.0,47000.0,15.054452,-153.0,-181.30852,1.1502134,0.00015710335,0.2,,,
261.0,159.0,3156.0,2278464.0,47500.0,15.050697,-165.0,-181.13684,1.7053813,0.00014139301,0.2,,,
265.0,137.0,3188.0,2302464.0,48000.0,15.056461,-116.0,-180.45833,0.7934389,0.00014139301,0.2,,,
268.0,137.0,3221.0,2326464.0,48500.0,15.057436,-159.0,-180.2371,4.727294,0.0001272537,0.2,,,
272.0,28.0,3254.0,2350464.0,49000.0,15.05839,-160.0,-180.03061,0.29328957,0.0001272537,0.2,,,
276.0,37.0,3286.0,2374464.0,49500.0,15.063908,-116.0,-179.38383,1.123383,0.00011452834,0.2,,,
