epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,1.0,,,
2.0,100.0,35.0,22464.0,500.0,14.285714,-200.0,-200.0,0.023700453,0.02,1.0,,,
4.0,200.0,67.0,46464.0,1000.0,14.925373,-200.0,-200.0,0.19498879,0.02,1.0,,,
7.0,100.0,99.0,70464.0,1500.0,15.151515,-200.0,-200.0,0.4874323,0.018,0.95555556,,,
9.0,200.0,131.0,94464.0,2000.0,15.267176,-200.0,-200.0,1.0405685,0.018,0.9111111,,,
12.0,100.0,166.0,118464.0,2500.0,15.060241,-200.0,-200.0,1.9728682,0.0162,0.8666667,,,
14.0,200.0,202.0,142464.0,3000.0,14.851485,-200.0,-200.0,1.549524,0.0162,0.82222223,,,
17.0,100.0,235.0,166464.0,3500.0,14.893617,-200.0,-200.0,2.6980462,0.01458,0.7777778,,,
19.0,200.0,268.0,190464.0,4000.0,14.925373,-200.0,-200.0,1.3500664,0.01458,0.73333335,,,
22.0,100.0,300.0,214464.0,4500.0,15.0,-200.0,-200.0,2.1073349,0.013122,0.6888889,,,
24.0,200.0,332.0,238464.0,5000.0,15.060241,-200.0,-200.0,5.550227,0.013122,0.64444447,,,
27.0,100.0,365.0,262464.0,5500.0,15.068493,-200.0,-200.0,8.279024,0.0118098,0.6,,,
29.0,200.0,397.0,286464.0,6000.0,15.11335,-200.0,-200.0,4.493363,0.0118098,0.5555556,,,
32.0,100.0,430.0,310464.0,6500.0,15.116279,-200.0,-200.0,6.23852,0.01062882,0.51111114,,,
34.0,200.0,463.0,334464.0,7000.0,15.118791,-200.0,-200.0,6.4079204,0.01062882,0.46666667,,,
37.0,100.0,496.0,358464.0,7500.0,15.120968,-200.0,-200.0,4.5075197,0.009565938,0.42222223,,,
39.0,200.0,528.0,382464.0,8000.0,15.151515,-200.0,-200.0,1.5523204,0.009565938,0.37777779,,,
42.0,100.0,563.0,406464.0,8500.0,15.097691,-200.0,-200.0,9.924683,0.008609344,0.33333334,,,
44.0,200.0,599.0,430464.0,9000.0,15.025042,-200.0,-200.0,12.647248,0.008609344,0.2888889,,,
47.0,100.0,634.0,454464.0,9500.0,14.984227,-200.0,-200.0,12.11174,0.0077484096,0.24444444,,,
49.0,200.0,668.0,478464.0,10000.0,14.97006,-200.0,-200.0,9.041347,0.0077484096,0.2,,,
52.0,100.0,702.0,502464.0,10500.0,14.957265,-200.0,-200.0,2.1847997,0.006973569,0.2,,,
54.0,200.0,734.0,526464.0,11000.0,14.986376,-200.0,-200.0,6.5440655,0.006973569,0.2,,,
57.0,100.0,770.0,550464.0,11500.0,14.935065,-200.0,-200.0,2.6193814,0.0062762117,0.2,,,
59.0,200.0,803.0,574464.0,12000.0,14.94396,-200.0,-200.0,7.24096,0.0062762117,0.2,,,
62.0,100.0,836.0,598464.0,12500.0,14.952153,-200.0,-200.0,9.800059,0.0056485906,0.2,,,
64.0,200.0,869.0,622464.0,13000.0,14.959723,-200.0,-200.0,4.519397,0.0056485906,0.2,,,
67.0,100.0,906.0,646464.0,13500.0,14.900662,-200.0,-200.0,11.553019,0.005083732,0.2,,,
69.0,200.0,939.0,670464.0,14000.0,14.909478,-200.0,-200.0,16.787985,0.005083732,0.2,,,
72.0,100.0,974.0,694464.0,14500.0,14.887064,-200.0,-200.0,7.2436447,0.0045753587,0.2,,,
74.0,200.0,1008.0,718464.0,15000.0,14.880953,-200.0,-200.0,12.918542,0.0045753587,0.2,,,
77.0,100.0,1041.0,742464.0,15500.0,14.889529,-200.0,-200.0,7.451807,0.0041178227,0.2,,,
79.0,200.0,1075.0,766464.0,16000.0,14.883721,-200.0,-200.0,15.203355,0.0041178227,0.2,,,
82.0,100.0,1109.0,790464.0,16500.0,14.878268,-200.0,-200.0,9.286448,0.0037060403,0.2,,,
84.0,200.0,1142.0,814464.0,17000.0,14.886165,-200.0,-200.0,12.827371,0.0037060403,0.2,,,
87.0,100.0,1177.0,838464.0,17500.0,14.868309,-200.0,-200.0,14.825171,0.0033354363,0.2,,,
89.0,200.0,1211.0,862464.0,18000.0,14.863749,-200.0,-200.0,10.066856,0.0033354363,0.2,,,
92.0,128.0,1245.0,886464.0,18500.0,14.859438,-172.0,-199.24324,16.071861,0.0030018927,0.2,,,
95.0,55.0,1278.0,910464.0,19000.0,14.86698,-173.0,-198.55263,9.163658,0.0030018927,0.2,,,
97.0,155.0,1312.0,934464.0,19500.0,14.862804,-200.0,-198.58974,8.024419,0.0027017035,0.2,,,
100.0,55.0,1346.0,958464.0,20000.0,14.858841,-200.0,-198.625,12.253918,0.0027017035,0.2,,,
102.0,155.0,1379.0,982464.0,20500.0,14.865845,-200.0,-198.65854,9.386386,0.002431533,0.2,,,
105.0,55.0,1415.0,1006464.0,21000.0,14.840989,-200.0,-198.69048,6.9239774,0.002431533,0.2,,,
107.0,155.0,1448.0,1030464.0,21500.0,14.848066,-200.0,-198.72093,16.714825,0.0021883799,0.2,,,
110.0,55.0,1483.0,1054464.0,22000.0,14.834794,-200.0,-198.75,10.235753,0.0021883799,0.2,,,
112.0,155.0,1516.0,1078464.0,22500.0,14.841689,-200.0,-198.77777,11.876776,0.001969542,0.2,,,
115.0,55.0,1549.0,1102464.0,23000.0,14.8482895,-200.0,-198.80435,1.7658062,0.001969542,0.2,,,
117.0,155.0,1583.0,1126464.0,23500.0,14.84523,-200.0,-198.82979,9.424546,0.0017725877,0.2,,,
120.0,76.0,1616.0,1150464.0,24000.0,14.851485,-200.0,-198.85417,3.770037,0.0017725877,0.2,,,
122.0,176.0,1649.0,1174464.0,24500.0,14.85749,-200.0,-198.87755,15.062487,0.0015953289,0.2,,,
125.0,93.0,1682.0,1198464.0,25000.0,14.863258,-200.0,-198.9,18.943077,0.0015953289,0.2,,,
128.0,25.0,1716.0,1222464.0,25500.0,14.86014,-200.0,-198.92157,6.4413967,0.001435796,0.2,,,
130.0,125.0,1750.0,1246464.0,26000.0,14.857142,-200.0,-198.9423,10.59393,0.001435796,0.2,,,
133.0,25.0,1784.0,1270464.0,26500.0,14.85426,-200.0,-198.96227,19.564178,0.0012922164,0.2,,,
135.0,125.0,1817.0,1294464.0,27000.0,14.859659,-200.0,-198.98148,11.301711,0.0012922164,0.2,,,
138.0,60.0,1851.0,1318464.0,27500.0,14.856834,-200.0,-199.0,4.991202,0.0011629948,0.2,,,
141.0,41.0,1886.0,1342464.0,28000.0,14.846235,-162.0,-198.33928,9.135368,0.0011629948,0.2,,,
143.0,141.0,1919.0,1366464.0,28500.0,14.851485,-200.0,-198.36842,20.733767,0.0010466953,0.2,,,
146.0,119.0,1954.0,1390464.0,29000.0,14.8413515,-164.0,-197.77586,12.696504,0.0010466953,0.2,,,
149.0,119.0,1989.0,1414464.0,29500.0,14.8315735,-158.0,-197.1017,3.934648,0.00094202574,0.2,,,
152.0,44.0,2022.0,1438464.0,30000.0,14.836795,-200.0,-197.15,5.842372,0.00094202574,0.2,,,
155.0,18.0,2059.0,1462464.0,30500.0,14.813016,-167.0,-196.65573,19.231209,0.00084782316,0.2,,,
157.0,151.0,2093.0,1486464.0,31000.0,14.8112755,-167.0,-196.17741,5.354191,0.00084782316,0.2,,,
160.0,120.0,2126.0,1510464.0,31500.0,14.816557,-165.0,-195.68254,6.4665236,0.00076304085,0.2,,,
163.0,102.0,2159.0,1534464.0,32000.0,14.821676,-160.0,-195.125,6.8439293,0.00076304085,0.2,,,
166.0,33.0,2192.0,1558464.0,32500.0,14.826642,-200.0,-195.2,9.832639,0.0006867368,0.2,,,
168.0,170.0,2226.0,1582464.0,33000.0,14.824798,-200.0,-195.27272,6.737283,0.0006867368,0.2,,,
171.0,70.0,2260.0,1606464.0,33500.0,14.823009,-200.0,-195.34328,11.562503,0.0006180631,0.2,,,
173.0,170.0,2295.0,1630464.0,34000.0,14.814815,-200.0,-195.41176,2.7452433,0.0006180631,0.2,,,
176.0,159.0,2328.0,1654464.0,34500.0,14.819588,-151.0,-194.76811,3.7879822,0.0005562568,0.2,,,
179.0,66.0,2361.0,1678464.0,35000.0,14.824227,-200.0,-194.84285,2.0962598,0.0005562568,0.2,,,
182.0,82.0,2395.0,1702464.0,35500.0,14.822547,-160.0,-194.35211,1.662002,0.0005006311,0.2,,,
185.0,56.0,2428.0,1726464.0,36000.0,14.827018,-174.0,-194.06944,1.1467595,0.0005006311,0.2,,,
188.0,32.0,2462.0,1750464.0,36500.0,14.825345,-161.0,-193.61644,7.002128,0.00045056798,0.2,,,
191.0,51.0,2496.0,1774464.0,37000.0,14.823718,-164.0,-193.21622,7.174932,0.00045056798,0.2,,,
194.0,52.0,2530.0,1798464.0,37500.0,14.822134,-184.0,-193.09334,11.756582,0.00040551118,0.2,,,
196.0,192.0,2563.0,1822464.0,38000.0,14.826375,-161.0,-192.67105,5.783013,0.00040551118,0.2,,,
