epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,1.0,,,
2.0,100.0,35.0,22464.0,500.0,14.285714,-200.0,-200.0,0.044299074,0.02,1.0,,,
4.0,200.0,67.0,46464.0,1000.0,14.925373,-200.0,-200.0,0.18730353,0.02,1.0,,,
7.0,100.0,100.0,70464.0,1500.0,15.0,-200.0,-200.0,0.525654,0.018,0.95555556,,,
9.0,200.0,132.0,94464.0,2000.0,15.151515,-200.0,-200.0,0.7819075,0.018,0.9111111,,,
12.0,100.0,164.0,118464.0,2500.0,15.243902,-200.0,-200.0,1.438367,0.0162,0.8666667,,,
14.0,200.0,196.0,142464.0,3000.0,15.306123,-200.0,-200.0,0.98040915,0.0162,0.82222223,,,
17.0,100.0,228.0,166464.0,3500.0,15.350877,-200.0,-200.0,2.5162125,0.01458,0.7777778,,,
19.0,200.0,262.0,190464.0,4000.0,15.267176,-200.0,-200.0,2.8978105,0.01458,0.73333335,,,
22.0,100.0,295.0,214464.0,4500.0,15.254237,-200.0,-200.0,2.9377675,0.013122,0.6888889,,,
24.0,200.0,328.0,238464.0,5000.0,15.243902,-200.0,-200.0,0.63182724,0.013122,0.64444447,,,
27.0,100.0,361.0,262464.0,5500.0,15.235457,-200.0,-200.0,5.725071,0.0118098,0.6,,,
29.0,200.0,394.0,286464.0,6000.0,15.228426,-200.0,-200.0,7.2569695,0.0118098,0.5555556,,,
32.0,100.0,427.0,310464.0,6500.0,15.222483,-200.0,-200.0,3.4833407,0.01062882,0.51111114,,,
34.0,200.0,459.0,334464.0,7000.0,15.250545,-200.0,-200.0,2.4935136,0.01062882,0.46666667,,,
37.0,100.0,492.0,358464.0,7500.0,15.243902,-200.0,-200.0,5.5889564,0.009565938,0.42222223,,,
39.0,200.0,529.0,382464.0,8000.0,15.122873,-200.0,-200.0,10.164131,0.009565938,0.37777779,,,
42.0,100.0,562.0,406464.0,8500.0,15.124556,-200.0,-200.0,5.217228,0.008609344,0.33333334,,,
44.0,200.0,595.0,430464.0,9000.0,15.12605,-200.0,-200.0,12.91148,0.008609344,0.2888889,,,
47.0,100.0,631.0,454464.0,9500.0,15.055468,-200.0,-200.0,7.850911,0.0077484096,0.24444444,,,
49.0,200.0,664.0,478464.0,10000.0,15.060241,-200.0,-200.0,8.636803,0.0077484096,0.2,,,
52.0,100.0,697.0,502464.0,10500.0,15.064563,-200.0,-200.0,13.626535,0.006973569,0.2,,,
54.0,200.0,732.0,526464.0,11000.0,15.027323,-200.0,-200.0,14.790261,0.006973569,0.2,,,
57.0,100.0,768.0,550464.0,11500.0,14.973958,-200.0,-200.0,12.815036,0.0062762117,0.2,,,
59.0,200.0,802.0,574464.0,12000.0,14.962593,-200.0,-200.0,14.118184,0.0062762117,0.2,,,
62.0,100.0,836.0,598464.0,12500.0,14.952153,-200.0,-200.0,10.251387,0.0056485906,0.2,,,
64.0,200.0,873.0,622464.0,13000.0,14.89118,-200.0,-200.0,15.43948,0.0056485906,0.2,,,
67.0,100.0,906.0,646464.0,13500.0,14.900662,-200.0,-200.0,5.183106,0.005083732,0.2,,,
69.0,200.0,940.0,670464.0,14000.0,14.893617,-200.0,-200.0,17.70154,0.005083732,0.2,,,
72.0,100.0,973.0,694464.0,14500.0,14.902364,-200.0,-200.0,14.042655,0.0045753587,0.2,,,
74.0,200.0,1007.0,718464.0,15000.0,14.89573,-200.0,-200.0,13.277191,0.0045753587,0.2,,,
77.0,100.0,1041.0,742464.0,15500.0,14.889529,-200.0,-200.0,4.1433625,0.0041178227,0.2,,,
79.0,200.0,1075.0,766464.0,16000.0,14.883721,-200.0,-200.0,11.771758,0.0041178227,0.2,,,
82.0,100.0,1109.0,790464.0,16500.0,14.878268,-200.0,-200.0,7.1994104,0.0037060403,0.2,,,
84.0,200.0,1145.0,814464.0,17000.0,14.847161,-200.0,-200.0,9.506862,0.0037060403,0.2,,,
87.0,100.0,1178.0,838464.0,17500.0,14.855687,-200.0,-200.0,15.997991,0.0033354363,0.2,,,
89.0,200.0,1213.0,862464.0,18000.0,14.839242,-200.0,-200.0,7.539639,0.0033354363,0.2,,,
92.0,100.0,1248.0,886464.0,18500.0,14.823718,-200.0,-200.0,17.138733,0.0030018927,0.2,,,
94.0,200.0,1281.0,910464.0,19000.0,14.832162,-200.0,-200.0,18.050865,0.0030018927,0.2,,,
97.0,100.0,1314.0,934464.0,19500.0,14.840182,-200.0,-200.0,8.315713,0.0027017035,0.2,,,
99.0,200.0,1348.0,958464.0,20000.0,14.836795,-200.0,-200.0,21.995232,0.0027017035,0.2,,,
102.0,100.0,1385.0,982464.0,20500.0,14.801444,-200.0,-200.0,21.660463,0.002431533,0.2,,,
105.0,34.0,1419.0,1006464.0,21000.0,14.799154,-200.0,-200.0,20.699665,0.002431533,0.2,,,
107.0,134.0,1453.0,1030464.0,21500.0,14.796971,-200.0,-200.0,22.10455,0.0021883799,0.2,,,
110.0,34.0,1487.0,1054464.0,22000.0,14.794889,-200.0,-200.0,23.021246,0.0021883799,0.2,,,
112.0,134.0,1521.0,1078464.0,22500.0,14.792899,-200.0,-200.0,5.3376665,0.001969542,0.2,,,
115.0,47.0,1557.0,1102464.0,23000.0,14.771997,-187.0,-199.71739,6.7404704,0.001969542,0.2,,,
117.0,147.0,1591.0,1126464.0,23500.0,14.770584,-200.0,-199.7234,8.178254,0.0017725877,0.2,,,
120.0,47.0,1628.0,1150464.0,24000.0,14.742015,-200.0,-199.72917,10.514208,0.0017725877,0.2,,,
122.0,147.0,1661.0,1174464.0,24500.0,14.750151,-200.0,-199.7347,5.5044827,0.0015953289,0.2,,,
125.0,73.0,1694.0,1198464.0,25000.0,14.757969,-200.0,-199.74,8.324198,0.0015953289,0.2,,,
128.0,76.0,1727.0,1222464.0,25500.0,14.76549,-172.0,-199.19608,11.171006,0.001435796,0.2,,,
131.0,53.0,1760.0,1246464.0,26000.0,14.772727,-200.0,-199.21153,16.610388,0.001435796,0.2,,,
134.0,31.0,1794.0,1270464.0,26500.0,14.771461,-200.0,-199.22641,9.629585,0.0012922164,0.2,,,
136.0,131.0,1827.0,1294464.0,27000.0,14.778325,-200.0,-199.24074,8.688198,0.0012922164,0.2,,,
139.0,160.0,1860.0,1318464.0,27500.0,14.784946,-157.0,-198.47273,8.538121,0.0011629948,0.2,,,
142.0,103.0,1893.0,1342464.0,28000.0,14.791336,-197.0,-198.44643,7.0295496,0.0011629948,0.2,,,
145.0,189.0,1927.0,1366464.0,28500.0,14.789828,-148.0,-197.5614,4.0359263,0.0010466953,0.2,,,
148.0,179.0,1961.0,1390464.0,29000.0,14.788373,-157.0,-196.86208,18.22071,0.0010466953,0.2,,,
151.0,137.0,1994.0,1414464.0,29500.0,14.794383,-147.0,-196.01695,13.85245,0.00094202574,0.2,,,
154.0,147.0,2029.0,1438464.0,30000.0,14.785608,-120.0,-194.75,5.8539624,0.00094202574,0.2,,,
157.0,88.0,2062.0,1462464.0,30500.0,14.791465,-200.0,-194.83606,8.956115,0.00084782316,0.2,,,
160.0,51.0,2095.0,1486464.0,31000.0,14.797136,-200.0,-194.91936,5.3352456,0.00084782316,0.2,,,
164.0,14.0,2131.0,1510464.0,31500.0,14.781793,-129.0,-193.87302,7.7745523,0.00076304085,0.2,,,
167.0,84.0,2168.0,1534464.0,32000.0,14.760148,-119.0,-192.70312,4.697937,0.00076304085,0.2,,,
170.0,141.0,2203.0,1558464.0,32500.0,14.75261,-153.0,-192.0923,3.5634282,0.0006867368,0.2,,,
173.0,94.0,2236.0,1582464.0,33000.0,14.758497,-197.0,-192.16667,1.1889083,0.0006867368,0.2,,,
176.0,79.0,2270.0,1606464.0,33500.0,14.7577095,-161.0,-191.70149,7.134964,0.0006180631,0.2,,,
179.0,65.0,2304.0,1630464.0,34000.0,14.756945,-144.0,-191.0,6.996098,0.0006180631,0.2,,,
182.0,126.0,2340.0,1654464.0,34500.0,14.743589,-193.0,-191.02899,2.1121712,0.0005562568,0.2,,,
185.0,26.0,2374.0,1678464.0,35000.0,14.74305,-200.0,-191.15715,3.0685246,0.0005562568,0.2,,,
188.0,5.0,2412.0,1702464.0,35500.0,14.718077,-196.0,-191.22536,2.5080035,0.0005006311,0.2,,,
190.0,113.0,2446.0,1726464.0,36000.0,14.717907,-200.0,-191.34723,1.6060382,0.0005006311,0.2,,,
193.0,111.0,2479.0,1750464.0,36500.0,14.723679,-127.0,-190.46576,3.2618961,0.00045056798,0.2,,,
197.0,24.0,2513.0,1774464.0,37000.0,14.723438,-158.0,-190.02702,0.37902486,0.00045056798,0.2,,,
200.0,109.0,2547.0,1798464.0,37500.0,14.723204,-122.0,-189.12,1.8450975,0.00040551118,0.2,,,
204.0,84.0,2584.0,1822464.0,38000.0,14.705882,-116.0,-188.1579,5.4749265,0.00040551118,0.2,,,
207.0,70.0,2617.0,1846464.0,38500.0,14.711502,-161.0,-187.80519,5.227797,0.00036496008,0.2,,,
210.0,113.0,2651.0,1870464.0,39000.0,14.71143,-164.0,-187.5,4.580834,0.00036496008,0.2,,,
213.0,144.0,2684.0,1894464.0,39500.0,14.716841,-159.0,-187.13924,2.932911,0.00032846406,0.2,,,
216.0,165.0,2718.0,1918464.0,40000.0,14.716703,-159.0,-186.7875,0.4487756,0.00032846406,0.2,,,
219.0,144.0,2751.0,1942464.0,40500.0,14.721919,-200.0,-186.95062,1.1822019,0.00029561765,0.2,,,
222.0,132.0,2785.0,1966464.0,41000.0,14.721724,-157.0,-186.58537,0.276898,0.00029561765,0.2,,,
225.0,32.0,2818.0,1990464.0,41500.0,14.726756,-200.0,-186.747,22.560625,0.0002660559,0.2,,,
228.0,9.0,2851.0,2014464.0,42000.0,14.731673,-200.0,-186.90475,23.738115,0.0002660559,0.2,,,
230.0,109.0,2884.0,2038464.0,42500.0,14.736477,-200.0,-187.05882,3.3758948,0.00023945031,0.2,,,
233.0,9.0,2918.0,2062464.0,43000.0,14.73612,-200.0,-187.2093,41.26144,0.00023945031,0.2,,,
235.0,144.0,2951.0,2086464.0,43500.0,14.740766,-200.0,-187.35632,3.3337114,0.00021550528,0.2,,,
