epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,6.55837e-07,0.2,,,
3.0,47.0,6.0,0.0,500.0,83.333336,-146.0,-146.0,,6.55837e-07,0.2,,,
6.0,87.0,9.0,0.0,1000.0,111.111115,-154.0,-150.0,,6.55837e-07,0.2,,,
9.0,66.0,13.0,0.0,1500.0,115.38461,-172.0,-157.33333,,6.55837e-07,0.2,,,
12.0,130.0,16.0,0.0,2000.0,125.0,-145.0,-154.25,,6.55837e-07,0.2,,,
15.0,128.0,20.0,0.0,2500.0,125.0,-154.0,-154.2,,6.55837e-07,0.2,,,
19.0,18.0,23.0,0.0,3000.0,130.43478,-152.0,-153.83333,,6.55837e-07,0.2,,,
22.0,73.0,27.0,0.0,3500.0,129.62962,-149.0,-153.14285,,6.55837e-07,0.2,,,
25.0,128.0,30.0,0.0,4000.0,133.33333,-147.0,-152.375,,6.55837e-07,0.2,,,
28.0,125.0,34.0,0.0,4500.0,132.35294,-154.0,-152.55556,,6.55837e-07,0.2,,,
31.0,63.0,37.0,0.0,5000.0,135.13513,-200.0,-157.3,,6.55837e-07,0.2,,,
34.0,102.0,41.0,0.0,5500.0,134.14635,-149.0,-156.54546,,6.55837e-07,0.2,,,
