epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,1.0,,,
2.0,100.0,45.0,22464.0,500.0,11.111111,-200.0,-200.0,0.0068660234,0.02,1.0,,,
4.0,200.0,88.0,46464.0,1000.0,11.363636,-200.0,-200.0,0.1414232,0.02,1.0,,,
7.0,100.0,130.0,70464.0,1500.0,11.538462,-200.0,-200.0,0.53236145,0.018,0.95555556,,,
9.0,200.0,172.0,94464.0,2000.0,11.627907,-200.0,-200.0,0.40655643,0.018,0.9111111,,,
12.0,100.0,215.0,118464.0,2500.0,11.627907,-200.0,-200.0,0.38922057,0.0162,0.8666667,,,
14.0,200.0,258.0,142464.0,3000.0,11.627907,-200.0,-200.0,1.8328679,0.0162,0.82222223,,,
17.0,100.0,301.0,166464.0,3500.0,11.627907,-200.0,-200.0,3.8715801,0.01458,0.7777778,,,
19.0,200.0,344.0,190464.0,4000.0,11.627907,-200.0,-200.0,3.9218414,0.01458,0.73333335,,,
22.0,100.0,387.0,214464.0,4500.0,11.627907,-200.0,-200.0,5.780484,0.013122,0.6888889,,,
24.0,200.0,430.0,238464.0,5000.0,11.627907,-200.0,-200.0,3.493274,0.013122,0.64444447,,,
27.0,100.0,473.0,262464.0,5500.0,11.627907,-200.0,-200.0,3.219194,0.0118098,0.6,,,
29.0,200.0,517.0,286464.0,6000.0,11.605416,-200.0,-200.0,1.1444932,0.0118098,0.5555556,,,
32.0,100.0,560.0,310464.0,6500.0,11.607142,-200.0,-200.0,5.525402,0.01062882,0.51111114,,,
34.0,200.0,603.0,334464.0,7000.0,11.6086235,-200.0,-200.0,3.745706,0.01062882,0.46666667,,,
37.0,100.0,647.0,358464.0,7500.0,11.591963,-200.0,-200.0,10.260778,0.009565938,0.42222223,,,
39.0,200.0,690.0,382464.0,8000.0,11.594203,-200.0,-200.0,4.5418596,0.009565938,0.37777779,,,
42.0,100.0,734.0,406464.0,8500.0,11.580381,-200.0,-200.0,9.771742,0.008609344,0.33333334,,,
44.0,200.0,778.0,430464.0,9000.0,11.568124,-200.0,-200.0,11.426147,0.008609344,0.2888889,,,
47.0,100.0,822.0,454464.0,9500.0,11.557178,-200.0,-200.0,6.2553544,0.0077484096,0.24444444,,,
49.0,200.0,866.0,478464.0,10000.0,11.547344,-200.0,-200.0,15.917033,0.0077484096,0.2,,,
52.0,100.0,909.0,502464.0,10500.0,11.551155,-200.0,-200.0,9.868652,0.006973569,0.2,,,
54.0,200.0,954.0,526464.0,11000.0,11.530398,-200.0,-200.0,12.2477865,0.006973569,0.2,,,
57.0,100.0,997.0,550464.0,11500.0,11.534604,-200.0,-200.0,10.548231,0.0062762117,0.2,,,
59.0,200.0,1041.0,574464.0,12000.0,11.527377,-200.0,-200.0,11.784867,0.0062762117,0.2,,,
62.0,100.0,1085.0,598464.0,12500.0,11.520738,-200.0,-200.0,6.3807282,0.0056485906,0.2,,,
64.0,200.0,1128.0,622464.0,13000.0,11.524822,-200.0,-200.0,13.310613,0.0056485906,0.2,,,
67.0,100.0,1172.0,646464.0,13500.0,11.518771,-200.0,-200.0,9.748165,0.005083732,0.2,,,
69.0,200.0,1216.0,670464.0,14000.0,11.513158,-200.0,-200.0,14.479683,0.005083732,0.2,,,
72.0,100.0,1260.0,694464.0,14500.0,11.5079365,-200.0,-200.0,10.719808,0.0045753587,0.2,,,
74.0,200.0,1305.0,718464.0,15000.0,11.494253,-200.0,-200.0,3.7941365,0.0045753587,0.2,,,
77.0,100.0,1351.0,742464.0,15500.0,11.472983,-200.0,-200.0,8.871887,0.0041178227,0.2,,,
79.0,200.0,1395.0,766464.0,16000.0,11.469534,-200.0,-200.0,19.212292,0.0041178227,0.2,,,
82.0,100.0,1439.0,790464.0,16500.0,11.466296,-200.0,-200.0,16.365368,0.0037060403,0.2,,,
84.0,200.0,1483.0,814464.0,17000.0,11.46325,-200.0,-200.0,17.140364,0.0037060403,0.2,,,
87.0,100.0,1527.0,838464.0,17500.0,11.46038,-200.0,-200.0,9.0424,0.0033354363,0.2,,,
89.0,200.0,1571.0,862464.0,18000.0,11.45767,-200.0,-200.0,29.117104,0.0033354363,0.2,,,
92.0,100.0,1616.0,886464.0,18500.0,11.44802,-200.0,-200.0,8.552133,0.0030018927,0.2,,,
94.0,200.0,1662.0,910464.0,19000.0,11.43201,-200.0,-200.0,8.654196,0.0030018927,0.2,,,
97.0,100.0,1707.0,934464.0,19500.0,11.42355,-200.0,-200.0,9.538506,0.0027017035,0.2,,,
99.0,200.0,1751.0,958464.0,20000.0,11.422045,-200.0,-200.0,13.748638,0.0027017035,0.2,,,
102.0,100.0,1795.0,982464.0,20500.0,11.420613,-200.0,-200.0,4.650552,0.002431533,0.2,,,
104.0,200.0,1839.0,1006464.0,21000.0,11.41925,-200.0,-200.0,17.14643,0.002431533,0.2,,,
107.0,100.0,1883.0,1030464.0,21500.0,11.41795,-200.0,-200.0,20.46335,0.0021883799,0.2,,,
109.0,200.0,1927.0,1054464.0,22000.0,11.41671,-200.0,-200.0,17.86611,0.0021883799,0.2,,,
112.0,100.0,1971.0,1078464.0,22500.0,11.415525,-200.0,-200.0,9.303974,0.001969542,0.2,,,
114.0,200.0,2016.0,1102464.0,23000.0,11.4087305,-200.0,-200.0,12.007591,0.001969542,0.2,,,
117.0,104.0,2060.0,1126464.0,23500.0,11.407767,-196.0,-199.91489,17.952547,0.0017725877,0.2,,,
120.0,34.0,2104.0,1150464.0,24000.0,11.406844,-170.0,-199.29167,19.71,0.0017725877,0.2,,,
122.0,134.0,2148.0,1174464.0,24500.0,11.405959,-200.0,-199.30612,13.358759,0.0015953289,0.2,,,
125.0,71.0,2193.0,1198464.0,25000.0,11.399909,-163.0,-198.58,23.055365,0.0015953289,0.2,,,
128.0,57.0,2236.0,1222464.0,25500.0,11.404293,-146.0,-197.54903,14.130456,0.001435796,0.2,,,
131.0,37.0,2281.0,1246464.0,26000.0,11.398509,-155.0,-196.73077,7.7830834,0.001435796,0.2,,,
133.0,137.0,2325.0,1270464.0,26500.0,11.397849,-200.0,-196.79245,18.543968,0.0012922164,0.2,,,
136.0,123.0,2369.0,1294464.0,27000.0,11.397214,-142.0,-195.77777,22.486834,0.0012922164,0.2,,,
139.0,82.0,2413.0,1318464.0,27500.0,11.396602,-200.0,-195.85454,12.355905,0.0011629948,0.2,,,
142.0,18.0,2457.0,1342464.0,28000.0,11.396011,-187.0,-195.69643,8.096251,0.0011629948,0.2,,,
144.0,165.0,2502.0,1366464.0,28500.0,11.390887,-168.0,-195.21053,23.855091,0.0010466953,0.2,,,
147.0,111.0,2547.0,1390464.0,29000.0,11.385944,-175.0,-194.86208,10.701985,0.0010466953,0.2,,,
150.0,11.0,2593.0,1414464.0,29500.0,11.376783,-200.0,-194.94916,16.681765,0.00094202574,0.2,,,
152.0,118.0,2637.0,1438464.0,30000.0,11.376564,-200.0,-195.03334,14.991929,0.00094202574,0.2,,,
155.0,105.0,2682.0,1462464.0,30500.0,11.37211,-144.0,-194.19672,20.411373,0.00084782316,0.2,,,
158.0,7.0,2728.0,1486464.0,31000.0,11.363636,-200.0,-194.29033,14.95075,0.00084782316,0.2,,,
160.0,124.0,2773.0,1510464.0,31500.0,11.359538,-200.0,-194.38095,5.6295285,0.00076304085,0.2,,,
163.0,40.0,2818.0,1534464.0,32000.0,11.355572,-200.0,-194.46875,11.081069,0.00076304085,0.2,,,
165.0,140.0,2863.0,1558464.0,32500.0,11.351729,-200.0,-194.55385,17.98503,0.0006867368,0.2,,,
168.0,71.0,2909.0,1582464.0,33000.0,11.344105,-169.0,-194.16667,0.24517024,0.0006867368,0.2,,,
171.0,3.0,2954.0,1606464.0,33500.0,11.340555,-191.0,-194.1194,1.8729182,0.0006180631,0.2,,,
173.0,103.0,2999.0,1630464.0,34000.0,11.337112,-200.0,-194.20589,14.753129,0.0006180631,0.2,,,
176.0,18.0,3043.0,1654464.0,34500.0,11.337496,-200.0,-194.28986,7.817308,0.0005562568,0.2,,,
178.0,149.0,3088.0,1678464.0,35000.0,11.334197,-169.0,-193.92857,14.248696,0.0005562568,0.2,,,
181.0,49.0,3134.0,1702464.0,35500.0,11.327377,-200.0,-194.01408,4.985452,0.0005006311,0.2,,,
183.0,149.0,3180.0,1726464.0,36000.0,11.320755,-200.0,-194.09723,17.25804,0.0005006311,0.2,,,
186.0,49.0,3224.0,1750464.0,36500.0,11.32134,-200.0,-194.17809,15.263197,0.00045056798,0.2,,,
188.0,149.0,3268.0,1774464.0,37000.0,11.321909,-200.0,-194.25676,13.343364,0.00045056798,0.2,,,
